Start Date,End Date,Portfolio name,Currency,Campaign Name,Retailer,Country,Bidding strategy,Placement,Impressions,Clicks,Cost per click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#)
"Mar 02, 2026","Mar 19, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,Fixed bids,Rest of search on Amazon,33198,192,2,342,789,43.4067%,2.30,20,25
"Mar 02, 2026","Mar 19, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,Fixed bids,Top of Search on Amazon,627,19,2,37,80,46.4205%,2.15,2,2
"Mar 16, 2026","Mar 18, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,Amazon,United States,Dynamic bids – up and down,Product pages on Amazon,39669,50,7,329,35,940.7153%,0.11,1,1
"Mar 16, 2026","Mar 18, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,Amazon,United States,Dynamic bids – up and down,Rest of search on Amazon,1300,3,3,9,0,,0.00,0,0
"Mar 16, 2026","Mar 18, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,Amazon,United States,Dynamic bids – up and down,Top of Search on Amazon,290,17,5,82,105,78.3214%,1.28,3,3
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Auto - th07fl47,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,4803,3,1,3,35,9.1845%,10.89,1,1
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Auto - th07fl47,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,324,2,1,3,0,,0.00,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Auto - th07fl47,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,4,0,,0,0,,,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Manual - th07fl47,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,283,0,,0,0,,,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Manual - th07fl47,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,828,2,4,8,0,,0.00,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Manual - th07fl47,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,19,0,,0,0,,,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Branded Manual - th07fl47,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,32,1,1,1,0,,0.00,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Branded Manual - th07fl47,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,54,3,2,5,0,,0.00,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Branded Manual - th07fl47,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,18,2,0,1,35,2.6037%,38.41,1,1
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Branded Pat - th07fl47,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,2,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Competitor Manual - th07fl47,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,1,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - Competitor Manual - th07fl47,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,2,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - PAT - th07fl47,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,187,1,2,2,45,3.4483%,29.00,1,1
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - PAT - th07fl47,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,120,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA TEST - Perpetua - SP - PAT - th07fl47,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,1,0,,0,0,,,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Auto - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,300,2,1,2,0,,0.00,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Auto - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,473,1,1,1,0,,0.00,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Auto - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,7,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Manual - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,9,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Manual - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,22,0,,0,0,,,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Competitor Manual - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,3,0,,0,0,,,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Competitor Manual - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,2,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - PAT - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,2,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - PAT - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,729,0,,0,0,,,0,0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - PAT - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,12,0,,0,0,,,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Branded Manual - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,56,1,1,1,0,,0.00,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Branded Manual - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,65,1,1,1,0,,0.00,0,0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,USD,PERPETUA - STICKS - Perpetua - SP - Branded Manual - tzm4t6x8,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,28,8,1,5,0,,0.00,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - Citrus Salt - BMM - Offense - Jars - Aug 2024,Amazon,United States,Fixed bids,Product pages on Amazon,2038,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - Citrus Salt - BMM - Offense - Jars - Aug 2024,Amazon,United States,Fixed bids,Rest of search on Amazon,123,1,2,2,0,,0.00,0,0
"Feb 01, 2026","Mar 17, 2026",Jars,USD,NM - SP - Citrus Salt - BMM - Offense - Jars - Aug 2024,Amazon,United States,Fixed bids,Top of Search on Amazon,392,29,5,159,111,143.0853%,0.70,3,3
