Start Date,End Date,Portfolio name,Currency,Campaign Name,Country,Ad Group Name,Retailer,Targeting,Match Type,Impressions,Top-of-search impression share,Clicks,Click-through rate (CTR),Cost per click (CPC),Spend,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales
"Feb 16, 2026","Feb 16, 2026",Jars,USD,NM - SP - Phrase 2 - MDF - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 2 - Sep 2025,Amazon,creatine and electrolytes for women,PHRASE,0,,0,,0,0,,,0,0,0,,0,0,0,0
"Feb 03, 2026","Mar 07, 2026",Jars,USD,NM - SP - Phrase 2 - MDF - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 2 - Sep 2025,Amazon,collagen creatine electrolytes,PHRASE,2,61.5400%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 16, 2026","Mar 03, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 3 - MDF - B0DJ3J2CKX - Sep 2025,United States,NM  - SP - 4 Pack - Phrase 3 - B0DJ3J2CKX - Sep 2025,Amazon,lmnt electrolyte powder packets,PHRASE,104,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 19, 2026","Mar 03, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 3 - MDF - B0DJ3J2CKX - Sep 2025,United States,NM  - SP - 4 Pack - Phrase 3 - B0DJ3J2CKX - Sep 2025,Amazon,collagen creatine electrolytes,PHRASE,12,10.8100%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 09, 2026","Mar 10, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 1 - B0DJ3J2CKX - Sep 2025,United States,NM  - SP - 4 Pack - Phrase 1 - B0DJ3J2CKX - Sep 2025,Amazon,lmnt electrolyte powder packets,PHRASE,94,0.0000%,1,1.0638%,1,1,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 12, 2026","Feb 25, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 1 - B0DJ3J2CKX - Sep 2025,United States,NM  - SP - 4 Pack - Phrase 1 - B0DJ3J2CKX - Sep 2025,Amazon,creatine and electrolytes for women,PHRASE,7,14.2900%,2,28.5714%,1,3,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 11, 2026","Feb 23, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 1 - B0DJ3J2CKX - Sep 2025,United States,NM  - SP - 4 Pack - Phrase 1 - B0DJ3J2CKX - Sep 2025,Amazon,collagen creatine electrolytes,PHRASE,18,3.4500%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 04, 2026","Mar 01, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 2 - MDF - B0DJ3J2CKX - Sep 2025,United States,NM  - SP - 4 Pack - Phrase 2 - B0DJ3J2CKX - Sep 2025,Amazon,lmnt electrolyte powder packets,PHRASE,273,0.0000%,1,0.3663%,1,1,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 02, 2026","Feb 15, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 2 - MDF - B0DJ3J2CKX - Sep 2025,United States,NM  - SP - 4 Pack - Phrase 2 - B0DJ3J2CKX - Sep 2025,Amazon,creatine and electrolytes for women,PHRASE,10,23.0800%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Feb 15, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 2 - MDF - B0DJ3J2CKX - Sep 2025,United States,NM  - SP - 4 Pack - Phrase 2 - B0DJ3J2CKX - Sep 2025,Amazon,collagen creatine electrolytes,PHRASE,57,24.2400%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 05, 2026","Mar 17, 2026",Multi,USD,NM - SP - Exact - Branded - Multi - Dec2025,United States,NM - SP - Jars - Exact - Branded - Multi - Dec2025,Amazon,harlo,EXACT,93,0.0000%,2,2.1505%,2,4,8.2314%,12.15,45,1,1,50.0000%,1,0,45,0
"Feb 23, 2026","Feb 23, 2026",Multi,USD,NM - SP - Exact - Branded - Multi - Dec2025,United States,NM - SP - Jars - Exact - Branded - Multi - Dec2025,Amazon,harlo electrolytes,EXACT,1,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 27, 2026","Feb 27, 2026",Multi,USD,NM - SP - Phrase - Branded - Multi -  Jars - Dec 2025,United States,NM - SP - Jars - Phrase - Multi - Dec 2025,Amazon,harlo electrolytes collagen creatine,PHRASE,0,20.0000%,0,,0,0,,,0,0,0,,0,0,0,0
"Feb 23, 2026","Mar 13, 2026",Multi,USD,NM - SP - Phrase - Branded - Multi -  Jars - Dec 2025,United States,NM - SP - Jars - Phrase - Multi - Dec 2025,Amazon,harlo,PHRASE,2,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 25, 2026","Mar 17, 2026",Multi,USD,NM - SP - Phrase - Branded - Multi -  Jars - Dec 2025,United States,NM - SP - Jars - Phrase - Multi - Dec 2025,Amazon,harlo 3 in 1,PHRASE,1,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 08, 2026","Feb 13, 2026",Jars,USD,NM - SP - STR - Exact - Jars - Jan 2026,United States,NM - SP - STR - Exact - Jars - Jan 2026,Amazon,hydration & collagen electrolyte drink mix,EXACT,9,75.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 06, 2026","Feb 07, 2026",Jars,USD,NM - SP - STR - Exact - Jars - Jan 2026,United States,NM - SP - STR - Exact - Jars - Jan 2026,Amazon,creatine electrolyte powder,EXACT,2,,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 12, 2026","Feb 12, 2026",Jars,USD,NM - SP - STR - Exact - Jars - Jan 2026,United States,NM - SP - STR - Exact - Jars - Jan 2026,Amazon,electrolytes collagen,EXACT,0,12.5000%,0,,0,0,,,0,0,0,,0,0,0,0
